"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2230","test_01_add_product[chromium]","tests","2026-06-28","passed","2026-06-28","TestAddProduct","test_add_products","",""
"","545","test_02_add_product[chromium]","tests","2026-06-28","passed","2026-06-28","TestAddProduct","test_add_products","",""
"","564","test_03_add_product[chromium]","tests","2026-06-28","passed","2026-06-28","TestAddProduct","test_add_products","",""
